segment_path,source_file,speaker,original_id,segment_index,start_sample,target_class,risk_score,binary_confidence,agreement,emotion_vote,num_responses,A,D,F,H,N,S
voicevote_v61/non_risk/1029__1029_IWL_NEU_XX__seg00.wav,1029_IWL_NEU_XX.wav,1029,1029_IWL_NEU_XX,0,0,non_risk,0.18181818,0.81818182,0.81818182,N,11,2,0,0,0,9,0
voicevote_v61/non_risk/1029__1029_IWL_NEU_XX__seg01.wav,1029_IWL_NEU_XX.wav,1029,1029_IWL_NEU_XX,1,8000,non_risk,0.18181818,0.81818182,0.81818182,N,11,2,0,0,0,9,0
voicevote_v61/non_risk/1029__1029_IWL_NEU_XX__seg02.wav,1029_IWL_NEU_XX.wav,1029,1029_IWL_NEU_XX,2,16000,non_risk,0.18181818,0.81818182,0.81818182,N,11,2,0,0,0,9,0
voicevote_v61/non_risk/1029__1029_IWL_NEU_XX__seg03.wav,1029_IWL_NEU_XX.wav,1029,1029_IWL_NEU_XX,3,24000,non_risk,0.18181818,0.81818182,0.81818182,N,11,2,0,0,0,9,0
voicevote_v61/non_risk/1029__1029_IWL_SAD_XX__seg00.wav,1029_IWL_SAD_XX.wav,1029,1029_IWL_SAD_XX,0,0,non_risk,0.25000000,0.75000000,0.75000000,N,8,0,0,0,0,6,2
voicevote_v61/non_risk/1029__1029_IWL_SAD_XX__seg01.wav,1029_IWL_SAD_XX.wav,1029,1029_IWL_SAD_XX,1,8000,non_risk,0.25000000,0.75000000,0.75000000,N,8,0,0,0,0,6,2
voicevote_v61/non_risk/1029__1029_IWL_SAD_XX__seg02.wav,1029_IWL_SAD_XX.wav,1029,1029_IWL_SAD_XX,2,16000,non_risk,0.25000000,0.75000000,0.75000000,N,8,0,0,0,0,6,2
voicevote_v61/non_risk/1029__1029_IWL_SAD_XX__seg03.wav,1029_IWL_SAD_XX.wav,1029,1029_IWL_SAD_XX,3,24000,non_risk,0.25000000,0.75000000,0.75000000,N,8,0,0,0,0,6,2
voicevote_v61/non_risk/1029__1029_IWW_DIS_XX__seg00.wav,1029_IWW_DIS_XX.wav,1029,1029_IWW_DIS_XX,0,0,non_risk,0.11111111,0.88888889,0.77777778,N,9,0,0,1,1,7,0
voicevote_v61/non_risk/1029__1029_IWW_DIS_XX__seg01.wav,1029_IWW_DIS_XX.wav,1029,1029_IWW_DIS_XX,1,8000,non_risk,0.11111111,0.88888889,0.77777778,N,9,0,0,1,1,7,0
voicevote_v61/non_risk/1029__1029_IWW_DIS_XX__seg02.wav,1029_IWW_DIS_XX.wav,1029,1029_IWW_DIS_XX,2,16000,non_risk,0.11111111,0.88888889,0.77777778,N,9,0,0,1,1,7,0
voicevote_v61/risk/1029__1029_IWW_FEA_XX__seg00.wav,1029_IWW_FEA_XX.wav,1029,1029_IWW_FEA_XX,0,0,risk,0.80000000,0.80000000,0.80000000,F,10,0,0,8,1,1,0
voicevote_v61/risk/1029__1029_IWW_FEA_XX__seg01.wav,1029_IWW_FEA_XX.wav,1029,1029_IWW_FEA_XX,1,8000,risk,0.80000000,0.80000000,0.80000000,F,10,0,0,8,1,1,0
voicevote_v61/risk/1029__1029_IWW_FEA_XX__seg02.wav,1029_IWW_FEA_XX.wav,1029,1029_IWW_FEA_XX,2,16000,risk,0.80000000,0.80000000,0.80000000,F,10,0,0,8,1,1,0
voicevote_v61/risk/1029__1029_IWW_FEA_XX__seg03.wav,1029_IWW_FEA_XX.wav,1029,1029_IWW_FEA_XX,3,24000,risk,0.80000000,0.80000000,0.80000000,F,10,0,0,8,1,1,0
voicevote_v61/non_risk/1029__1029_IWW_HAP_XX__seg00.wav,1029_IWW_HAP_XX.wav,1029,1029_IWW_HAP_XX,0,0,non_risk,0.22222222,0.77777778,0.50000000,N,10,0,1,2,2,5,0
voicevote_v61/non_risk/1029__1029_IWW_HAP_XX__seg01.wav,1029_IWW_HAP_XX.wav,1029,1029_IWW_HAP_XX,1,8000,non_risk,0.22222222,0.77777778,0.50000000,N,10,0,1,2,2,5,0
voicevote_v61/non_risk/1029__1029_IWW_HAP_XX__seg02.wav,1029_IWW_HAP_XX.wav,1029,1029_IWW_HAP_XX,2,16000,non_risk,0.22222222,0.77777778,0.50000000,N,10,0,1,2,2,5,0
voicevote_v61/non_risk/1029__1029_IWW_HAP_XX__seg03.wav,1029_IWW_HAP_XX.wav,1029,1029_IWW_HAP_XX,3,24000,non_risk,0.22222222,0.77777778,0.50000000,N,10,0,1,2,2,5,0
voicevote_v61/risk/1029__1029_IWW_SAD_XX__seg00.wav,1029_IWW_SAD_XX.wav,1029,1029_IWW_SAD_XX,0,0,risk,0.80000000,0.80000000,0.60000000,F,10,0,0,6,0,2,2
voicevote_v61/risk/1029__1029_IWW_SAD_XX__seg01.wav,1029_IWW_SAD_XX.wav,1029,1029_IWW_SAD_XX,1,8000,risk,0.80000000,0.80000000,0.60000000,F,10,0,0,6,0,2,2
voicevote_v61/risk/1029__1029_IWW_SAD_XX__seg02.wav,1029_IWW_SAD_XX.wav,1029,1029_IWW_SAD_XX,2,16000,risk,0.80000000,0.80000000,0.60000000,F,10,0,0,6,0,2,2
voicevote_v61/risk/1029__1029_IWW_SAD_XX__seg03.wav,1029_IWW_SAD_XX.wav,1029,1029_IWW_SAD_XX,3,24000,risk,0.80000000,0.80000000,0.60000000,F,10,0,0,6,0,2,2
voicevote_v61/risk/1029__1029_MTI_ANG_XX__seg00.wav,1029_MTI_ANG_XX.wav,1029,1029_MTI_ANG_XX,0,0,risk,0.87500000,0.87500000,0.87500000,A,8,7,0,0,1,0,0
voicevote_v61/risk/1029__1029_MTI_ANG_XX__seg01.wav,1029_MTI_ANG_XX.wav,1029,1029_MTI_ANG_XX,1,8000,risk,0.87500000,0.87500000,0.87500000,A,8,7,0,0,1,0,0
voicevote_v61/risk/1029__1029_MTI_ANG_XX__seg02.wav,1029_MTI_ANG_XX.wav,1029,1029_MTI_ANG_XX,2,16000,risk,0.87500000,0.87500000,0.87500000,A,8,7,0,0,1,0,0
voicevote_v61/risk/1029__1029_MTI_ANG_XX__seg03.wav,1029_MTI_ANG_XX.wav,1029,1029_MTI_ANG_XX,3,24000,risk,0.87500000,0.87500000,0.87500000,A,8,7,0,0,1,0,0
voicevote_v61/risk/1029__1029_MTI_ANG_XX__seg04.wav,1029_MTI_ANG_XX.wav,1029,1029_MTI_ANG_XX,4,32000,risk,0.87500000,0.87500000,0.87500000,A,8,7,0,0,1,0,0
voicevote_v61/risk/1029__1029_MTI_FEA_XX__seg00.wav,1029_MTI_FEA_XX.wav,1029,1029_MTI_FEA_XX,0,0,risk,1.00000000,1.00000000,0.71428571,F,7,2,0,5,0,0,0
voicevote_v61/risk/1029__1029_MTI_FEA_XX__seg01.wav,1029_MTI_FEA_XX.wav,1029,1029_MTI_FEA_XX,1,8000,risk,1.00000000,1.00000000,0.71428571,F,7,2,0,5,0,0,0
voicevote_v61/risk/1029__1029_MTI_FEA_XX__seg02.wav,1029_MTI_FEA_XX.wav,1029,1029_MTI_FEA_XX,2,16000,risk,1.00000000,1.00000000,0.71428571,F,7,2,0,5,0,0,0
voicevote_v61/risk/1029__1029_MTI_FEA_XX__seg03.wav,1029_MTI_FEA_XX.wav,1029,1029_MTI_FEA_XX,3,24000,risk,1.00000000,1.00000000,0.71428571,F,7,2,0,5,0,0,0
voicevote_v61/risk/1029__1029_MTI_FEA_XX__seg04.wav,1029_MTI_FEA_XX.wav,1029,1029_MTI_FEA_XX,4,32000,risk,1.00000000,1.00000000,0.71428571,F,7,2,0,5,0,0,0
voicevote_v61/risk/1029__1029_MTI_FEA_XX__seg05.wav,1029_MTI_FEA_XX.wav,1029,1029_MTI_FEA_XX,5,40000,risk,1.00000000,1.00000000,0.71428571,F,7,2,0,5,0,0,0
voicevote_v61/non_risk/1029__1029_MTI_HAP_XX__seg00.wav,1029_MTI_HAP_XX.wav,1029,1029_MTI_HAP_XX,0,0,non_risk,0.00000000,1.00000000,0.66666667,H,9,0,2,0,6,1,0
voicevote_v61/non_risk/1029__1029_MTI_HAP_XX__seg01.wav,1029_MTI_HAP_XX.wav,1029,1029_MTI_HAP_XX,1,8000,non_risk,0.00000000,1.00000000,0.66666667,H,9,0,2,0,6,1,0
voicevote_v61/non_risk/1029__1029_MTI_HAP_XX__seg02.wav,1029_MTI_HAP_XX.wav,1029,1029_MTI_HAP_XX,2,16000,non_risk,0.00000000,1.00000000,0.66666667,H,9,0,2,0,6,1,0
voicevote_v61/non_risk/1029__1029_MTI_HAP_XX__seg03.wav,1029_MTI_HAP_XX.wav,1029,1029_MTI_HAP_XX,3,24000,non_risk,0.00000000,1.00000000,0.66666667,H,9,0,2,0,6,1,0
voicevote_v61/non_risk/1029__1029_MTI_HAP_XX__seg04.wav,1029_MTI_HAP_XX.wav,1029,1029_MTI_HAP_XX,4,32000,non_risk,0.00000000,1.00000000,0.66666667,H,9,0,2,0,6,1,0
voicevote_v61/non_risk/1029__1029_MTI_NEU_XX__seg00.wav,1029_MTI_NEU_XX.wav,1029,1029_MTI_NEU_XX,0,0,non_risk,0.00000000,1.00000000,0.88888889,N,9,0,1,0,0,8,0
voicevote_v61/non_risk/1029__1029_MTI_NEU_XX__seg01.wav,1029_MTI_NEU_XX.wav,1029,1029_MTI_NEU_XX,1,8000,non_risk,0.00000000,1.00000000,0.88888889,N,9,0,1,0,0,8,0
voicevote_v61/non_risk/1029__1029_MTI_NEU_XX__seg02.wav,1029_MTI_NEU_XX.wav,1029,1029_MTI_NEU_XX,2,16000,non_risk,0.00000000,1.00000000,0.88888889,N,9,0,1,0,0,8,0
voicevote_v61/risk/1029__1029_MTI_SAD_XX__seg00.wav,1029_MTI_SAD_XX.wav,1029,1029_MTI_SAD_XX,0,0,risk,0.85714286,0.85714286,0.42857143,F:S,7,0,0,3,0,1,3
voicevote_v61/risk/1029__1029_MTI_SAD_XX__seg01.wav,1029_MTI_SAD_XX.wav,1029,1029_MTI_SAD_XX,1,8000,risk,0.85714286,0.85714286,0.42857143,F:S,7,0,0,3,0,1,3
voicevote_v61/risk/1029__1029_MTI_SAD_XX__seg02.wav,1029_MTI_SAD_XX.wav,1029,1029_MTI_SAD_XX,2,16000,risk,0.85714286,0.85714286,0.42857143,F:S,7,0,0,3,0,1,3
voicevote_v61/risk/1029__1029_MTI_SAD_XX__seg03.wav,1029_MTI_SAD_XX.wav,1029,1029_MTI_SAD_XX,3,24000,risk,0.85714286,0.85714286,0.42857143,F:S,7,0,0,3,0,1,3
voicevote_v61/risk/1029__1029_MTI_SAD_XX__seg04.wav,1029_MTI_SAD_XX.wav,1029,1029_MTI_SAD_XX,4,32000,risk,0.85714286,0.85714286,0.42857143,F:S,7,0,0,3,0,1,3
voicevote_v61/risk/1029__1029_MTI_SAD_XX__seg05.wav,1029_MTI_SAD_XX.wav,1029,1029_MTI_SAD_XX,5,40000,risk,0.85714286,0.85714286,0.42857143,F:S,7,0,0,3,0,1,3
voicevote_v61/risk/1029__1029_TAI_ANG_XX__seg00.wav,1029_TAI_ANG_XX.wav,1029,1029_TAI_ANG_XX,0,0,risk,1.00000000,1.00000000,0.80000000,A,10,8,2,0,0,0,0
voicevote_v61/risk/1029__1029_TAI_ANG_XX__seg01.wav,1029_TAI_ANG_XX.wav,1029,1029_TAI_ANG_XX,1,8000,risk,1.00000000,1.00000000,0.80000000,A,10,8,2,0,0,0,0
voicevote_v61/risk/1029__1029_TAI_ANG_XX__seg02.wav,1029_TAI_ANG_XX.wav,1029,1029_TAI_ANG_XX,2,16000,risk,1.00000000,1.00000000,0.80000000,A,10,8,2,0,0,0,0
voicevote_v61/risk/1029__1029_TAI_ANG_XX__seg03.wav,1029_TAI_ANG_XX.wav,1029,1029_TAI_ANG_XX,3,24000,risk,1.00000000,1.00000000,0.80000000,A,10,8,2,0,0,0,0
voicevote_v61/risk/1029__1029_TAI_ANG_XX__seg04.wav,1029_TAI_ANG_XX.wav,1029,1029_TAI_ANG_XX,4,32000,risk,1.00000000,1.00000000,0.80000000,A,10,8,2,0,0,0,0
voicevote_v61/risk/1029__1029_TAI_DIS_XX__seg00.wav,1029_TAI_DIS_XX.wav,1029,1029_TAI_DIS_XX,0,0,risk,0.71428571,0.71428571,0.55555556,A,9,5,2,0,1,1,0
voicevote_v61/risk/1029__1029_TAI_DIS_XX__seg01.wav,1029_TAI_DIS_XX.wav,1029,1029_TAI_DIS_XX,1,8000,risk,0.71428571,0.71428571,0.55555556,A,9,5,2,0,1,1,0
voicevote_v61/risk/1029__1029_TAI_DIS_XX__seg02.wav,1029_TAI_DIS_XX.wav,1029,1029_TAI_DIS_XX,2,16000,risk,0.71428571,0.71428571,0.55555556,A,9,5,2,0,1,1,0
voicevote_v61/risk/1029__1029_TAI_DIS_XX__seg03.wav,1029_TAI_DIS_XX.wav,1029,1029_TAI_DIS_XX,3,24000,risk,0.71428571,0.71428571,0.55555556,A,9,5,2,0,1,1,0
voicevote_v61/risk/1029__1029_TAI_FEA_XX__seg00.wav,1029_TAI_FEA_XX.wav,1029,1029_TAI_FEA_XX,0,0,risk,0.88888889,0.88888889,0.88888889,F,9,0,0,8,1,0,0
voicevote_v61/risk/1029__1029_TAI_FEA_XX__seg01.wav,1029_TAI_FEA_XX.wav,1029,1029_TAI_FEA_XX,1,8000,risk,0.88888889,0.88888889,0.88888889,F,9,0,0,8,1,0,0
voicevote_v61/risk/1029__1029_TAI_FEA_XX__seg02.wav,1029_TAI_FEA_XX.wav,1029,1029_TAI_FEA_XX,2,16000,risk,0.88888889,0.88888889,0.88888889,F,9,0,0,8,1,0,0
voicevote_v61/risk/1029__1029_TAI_FEA_XX__seg03.wav,1029_TAI_FEA_XX.wav,1029,1029_TAI_FEA_XX,3,24000,risk,0.88888889,0.88888889,0.88888889,F,9,0,0,8,1,0,0
voicevote_v61/risk/1029__1029_TAI_FEA_XX__seg04.wav,1029_TAI_FEA_XX.wav,1029,1029_TAI_FEA_XX,4,32000,risk,0.88888889,0.88888889,0.88888889,F,9,0,0,8,1,0,0
voicevote_v61/risk/1029__1029_TAI_FEA_XX__seg05.wav,1029_TAI_FEA_XX.wav,1029,1029_TAI_FEA_XX,5,40000,risk,0.88888889,0.88888889,0.88888889,F,9,0,0,8,1,0,0
voicevote_v61/non_risk/1029__1029_TAI_HAP_XX__seg00.wav,1029_TAI_HAP_XX.wav,1029,1029_TAI_HAP_XX,0,0,non_risk,0.00000000,1.00000000,0.57142857,N,7,0,1,0,2,4,0
voicevote_v61/non_risk/1029__1029_TAI_HAP_XX__seg01.wav,1029_TAI_HAP_XX.wav,1029,1029_TAI_HAP_XX,1,8000,non_risk,0.00000000,1.00000000,0.57142857,N,7,0,1,0,2,4,0
voicevote_v61/non_risk/1029__1029_TAI_HAP_XX__seg02.wav,1029_TAI_HAP_XX.wav,1029,1029_TAI_HAP_XX,2,16000,non_risk,0.00000000,1.00000000,0.57142857,N,7,0,1,0,2,4,0
voicevote_v61/non_risk/1029__1029_TAI_HAP_XX__seg03.wav,1029_TAI_HAP_XX.wav,1029,1029_TAI_HAP_XX,3,24000,non_risk,0.00000000,1.00000000,0.57142857,N,7,0,1,0,2,4,0
voicevote_v61/non_risk/1029__1029_TAI_HAP_XX__seg04.wav,1029_TAI_HAP_XX.wav,1029,1029_TAI_HAP_XX,4,32000,non_risk,0.00000000,1.00000000,0.57142857,N,7,0,1,0,2,4,0
voicevote_v61/non_risk/1029__1029_TAI_NEU_XX__seg00.wav,1029_TAI_NEU_XX.wav,1029,1029_TAI_NEU_XX,0,0,non_risk,0.11111111,0.88888889,0.70000000,N,10,0,1,1,1,7,0
voicevote_v61/non_risk/1029__1029_TAI_NEU_XX__seg01.wav,1029_TAI_NEU_XX.wav,1029,1029_TAI_NEU_XX,1,8000,non_risk,0.11111111,0.88888889,0.70000000,N,10,0,1,1,1,7,0
voicevote_v61/non_risk/1029__1029_TAI_NEU_XX__seg02.wav,1029_TAI_NEU_XX.wav,1029,1029_TAI_NEU_XX,2,16000,non_risk,0.11111111,0.88888889,0.70000000,N,10,0,1,1,1,7,0
voicevote_v61/risk/1029__1029_TAI_SAD_XX__seg00.wav,1029_TAI_SAD_XX.wav,1029,1029_TAI_SAD_XX,0,0,risk,0.77777778,0.77777778,0.44444444,F,9,0,0,4,0,2,3
voicevote_v61/risk/1029__1029_TAI_SAD_XX__seg01.wav,1029_TAI_SAD_XX.wav,1029,1029_TAI_SAD_XX,1,8000,risk,0.77777778,0.77777778,0.44444444,F,9,0,0,4,0,2,3
voicevote_v61/risk/1029__1029_TAI_SAD_XX__seg02.wav,1029_TAI_SAD_XX.wav,1029,1029_TAI_SAD_XX,2,16000,risk,0.77777778,0.77777778,0.44444444,F,9,0,0,4,0,2,3
voicevote_v61/risk/1029__1029_TAI_SAD_XX__seg03.wav,1029_TAI_SAD_XX.wav,1029,1029_TAI_SAD_XX,3,24000,risk,0.77777778,0.77777778,0.44444444,F,9,0,0,4,0,2,3
voicevote_v61/risk/1029__1029_TIE_ANG_XX__seg00.wav,1029_TIE_ANG_XX.wav,1029,1029_TIE_ANG_XX,0,0,risk,1.00000000,1.00000000,0.90000000,A,10,9,1,0,0,0,0
voicevote_v61/risk/1029__1029_TIE_ANG_XX__seg01.wav,1029_TIE_ANG_XX.wav,1029,1029_TIE_ANG_XX,1,8000,risk,1.00000000,1.00000000,0.90000000,A,10,9,1,0,0,0,0
voicevote_v61/risk/1029__1029_TIE_ANG_XX__seg02.wav,1029_TIE_ANG_XX.wav,1029,1029_TIE_ANG_XX,2,16000,risk,1.00000000,1.00000000,0.90000000,A,10,9,1,0,0,0,0
voicevote_v61/risk/1029__1029_TIE_ANG_XX__seg03.wav,1029_TIE_ANG_XX.wav,1029,1029_TIE_ANG_XX,3,24000,risk,1.00000000,1.00000000,0.90000000,A,10,9,1,0,0,0,0
voicevote_v61/non_risk/1029__1029_TIE_NEU_XX__seg00.wav,1029_TIE_NEU_XX.wav,1029,1029_TIE_NEU_XX,0,0,non_risk,0.20000000,0.80000000,0.80000000,N,10,0,0,1,0,8,1
voicevote_v61/non_risk/1029__1029_TIE_NEU_XX__seg01.wav,1029_TIE_NEU_XX.wav,1029,1029_TIE_NEU_XX,1,8000,non_risk,0.20000000,0.80000000,0.80000000,N,10,0,0,1,0,8,1
voicevote_v61/non_risk/1029__1029_TIE_NEU_XX__seg02.wav,1029_TIE_NEU_XX.wav,1029,1029_TIE_NEU_XX,2,16000,non_risk,0.20000000,0.80000000,0.80000000,N,10,0,0,1,0,8,1
voicevote_v61/non_risk/1029__1029_TIE_NEU_XX__seg03.wav,1029_TIE_NEU_XX.wav,1029,1029_TIE_NEU_XX,3,24000,non_risk,0.20000000,0.80000000,0.80000000,N,10,0,0,1,0,8,1
voicevote_v61/risk/1029__1029_TIE_SAD_XX__seg00.wav,1029_TIE_SAD_XX.wav,1029,1029_TIE_SAD_XX,0,0,risk,0.90000000,0.90000000,0.70000000,S,10,0,0,2,0,1,7
voicevote_v61/risk/1029__1029_TIE_SAD_XX__seg01.wav,1029_TIE_SAD_XX.wav,1029,1029_TIE_SAD_XX,1,8000,risk,0.90000000,0.90000000,0.70000000,S,10,0,0,2,0,1,7
voicevote_v61/risk/1029__1029_TIE_SAD_XX__seg02.wav,1029_TIE_SAD_XX.wav,1029,1029_TIE_SAD_XX,2,16000,risk,0.90000000,0.90000000,0.70000000,S,10,0,0,2,0,1,7
voicevote_v61/risk/1029__1029_TIE_SAD_XX__seg03.wav,1029_TIE_SAD_XX.wav,1029,1029_TIE_SAD_XX,3,24000,risk,0.90000000,0.90000000,0.70000000,S,10,0,0,2,0,1,7
voicevote_v61/risk/1029__1029_TIE_SAD_XX__seg04.wav,1029_TIE_SAD_XX.wav,1029,1029_TIE_SAD_XX,4,32000,risk,0.90000000,0.90000000,0.70000000,S,10,0,0,2,0,1,7
voicevote_v61/risk/1029__1029_TSI_ANG_XX__seg00.wav,1029_TSI_ANG_XX.wav,1029,1029_TSI_ANG_XX,0,0,risk,1.00000000,1.00000000,0.88888889,A,9,8,1,0,0,0,0
voicevote_v61/risk/1029__1029_TSI_ANG_XX__seg01.wav,1029_TSI_ANG_XX.wav,1029,1029_TSI_ANG_XX,1,8000,risk,1.00000000,1.00000000,0.88888889,A,9,8,1,0,0,0,0
voicevote_v61/risk/1029__1029_TSI_ANG_XX__seg02.wav,1029_TSI_ANG_XX.wav,1029,1029_TSI_ANG_XX,2,16000,risk,1.00000000,1.00000000,0.88888889,A,9,8,1,0,0,0,0
voicevote_v61/risk/1029__1029_TSI_ANG_XX__seg03.wav,1029_TSI_ANG_XX.wav,1029,1029_TSI_ANG_XX,3,24000,risk,1.00000000,1.00000000,0.88888889,A,9,8,1,0,0,0,0
voicevote_v61/non_risk/1029__1029_TSI_HAP_XX__seg00.wav,1029_TSI_HAP_XX.wav,1029,1029_TSI_HAP_XX,0,0,non_risk,0.00000000,1.00000000,0.87500000,H,8,0,0,0,7,1,0
voicevote_v61/non_risk/1029__1029_TSI_HAP_XX__seg01.wav,1029_TSI_HAP_XX.wav,1029,1029_TSI_HAP_XX,1,8000,non_risk,0.00000000,1.00000000,0.87500000,H,8,0,0,0,7,1,0
voicevote_v61/non_risk/1029__1029_TSI_HAP_XX__seg02.wav,1029_TSI_HAP_XX.wav,1029,1029_TSI_HAP_XX,2,16000,non_risk,0.00000000,1.00000000,0.87500000,H,8,0,0,0,7,1,0
voicevote_v61/non_risk/1029__1029_TSI_NEU_XX__seg00.wav,1029_TSI_NEU_XX.wav,1029,1029_TSI_NEU_XX,0,0,non_risk,0.25000000,0.75000000,0.50000000,N,10,2,2,0,1,5,0
voicevote_v61/non_risk/1029__1029_TSI_NEU_XX__seg01.wav,1029_TSI_NEU_XX.wav,1029,1029_TSI_NEU_XX,1,8000,non_risk,0.25000000,0.75000000,0.50000000,N,10,2,2,0,1,5,0
voicevote_v61/non_risk/1029__1029_TSI_NEU_XX__seg02.wav,1029_TSI_NEU_XX.wav,1029,1029_TSI_NEU_XX,2,16000,non_risk,0.25000000,0.75000000,0.50000000,N,10,2,2,0,1,5,0
voicevote_v61/risk/1029__1029_TSI_SAD_XX__seg00.wav,1029_TSI_SAD_XX.wav,1029,1029_TSI_SAD_XX,0,0,risk,0.80000000,0.80000000,0.50000000,F,10,0,0,5,0,2,3
voicevote_v61/risk/1029__1029_TSI_SAD_XX__seg01.wav,1029_TSI_SAD_XX.wav,1029,1029_TSI_SAD_XX,1,8000,risk,0.80000000,0.80000000,0.50000000,F,10,0,0,5,0,2,3
voicevote_v61/risk/1029__1029_TSI_SAD_XX__seg02.wav,1029_TSI_SAD_XX.wav,1029,1029_TSI_SAD_XX,2,16000,risk,0.80000000,0.80000000,0.50000000,F,10,0,0,5,0,2,3
voicevote_v61/risk/1029__1029_WSI_ANG_XX__seg00.wav,1029_WSI_ANG_XX.wav,1029,1029_WSI_ANG_XX,0,0,risk,1.00000000,1.00000000,0.90000000,A,10,9,1,0,0,0,0
voicevote_v61/risk/1029__1029_WSI_ANG_XX__seg01.wav,1029_WSI_ANG_XX.wav,1029,1029_WSI_ANG_XX,1,8000,risk,1.00000000,1.00000000,0.90000000,A,10,9,1,0,0,0,0
voicevote_v61/risk/1029__1029_WSI_ANG_XX__seg02.wav,1029_WSI_ANG_XX.wav,1029,1029_WSI_ANG_XX,2,16000,risk,1.00000000,1.00000000,0.90000000,A,10,9,1,0,0,0,0
voicevote_v61/risk/1029__1029_WSI_ANG_XX__seg03.wav,1029_WSI_ANG_XX.wav,1029,1029_WSI_ANG_XX,3,24000,risk,1.00000000,1.00000000,0.90000000,A,10,9,1,0,0,0,0
voicevote_v61/risk/1029__1029_WSI_FEA_XX__seg00.wav,1029_WSI_FEA_XX.wav,1029,1029_WSI_FEA_XX,0,0,risk,1.00000000,1.00000000,0.88888889,F,9,1,0,8,0,0,0
voicevote_v61/risk/1029__1029_WSI_FEA_XX__seg01.wav,1029_WSI_FEA_XX.wav,1029,1029_WSI_FEA_XX,1,8000,risk,1.00000000,1.00000000,0.88888889,F,9,1,0,8,0,0,0
voicevote_v61/risk/1029__1029_WSI_FEA_XX__seg02.wav,1029_WSI_FEA_XX.wav,1029,1029_WSI_FEA_XX,2,16000,risk,1.00000000,1.00000000,0.88888889,F,9,1,0,8,0,0,0
voicevote_v61/risk/1029__1029_WSI_FEA_XX__seg03.wav,1029_WSI_FEA_XX.wav,1029,1029_WSI_FEA_XX,3,24000,risk,1.00000000,1.00000000,0.88888889,F,9,1,0,8,0,0,0
voicevote_v61/non_risk/1029__1029_WSI_HAP_XX__seg00.wav,1029_WSI_HAP_XX.wav,1029,1029_WSI_HAP_XX,0,0,non_risk,0.00000000,1.00000000,0.37500000,H:N,8,0,2,0,3,3,0
voicevote_v61/non_risk/1029__1029_WSI_HAP_XX__seg01.wav,1029_WSI_HAP_XX.wav,1029,1029_WSI_HAP_XX,1,8000,non_risk,0.00000000,1.00000000,0.37500000,H:N,8,0,2,0,3,3,0
voicevote_v61/non_risk/1029__1029_WSI_HAP_XX__seg02.wav,1029_WSI_HAP_XX.wav,1029,1029_WSI_HAP_XX,2,16000,non_risk,0.00000000,1.00000000,0.37500000,H:N,8,0,2,0,3,3,0
voicevote_v61/non_risk/1029__1029_WSI_HAP_XX__seg03.wav,1029_WSI_HAP_XX.wav,1029,1029_WSI_HAP_XX,3,24000,non_risk,0.00000000,1.00000000,0.37500000,H:N,8,0,2,0,3,3,0
voicevote_v61/risk/1029__1029_WSI_SAD_XX__seg00.wav,1029_WSI_SAD_XX.wav,1029,1029_WSI_SAD_XX,0,0,risk,0.88888889,0.88888889,0.66666667,S,9,0,0,2,0,1,6
voicevote_v61/risk/1029__1029_WSI_SAD_XX__seg01.wav,1029_WSI_SAD_XX.wav,1029,1029_WSI_SAD_XX,1,8000,risk,0.88888889,0.88888889,0.66666667,S,9,0,0,2,0,1,6
voicevote_v61/risk/1029__1029_WSI_SAD_XX__seg02.wav,1029_WSI_SAD_XX.wav,1029,1029_WSI_SAD_XX,2,16000,risk,0.88888889,0.88888889,0.66666667,S,9,0,0,2,0,1,6
voicevote_v61/risk/1029__1029_WSI_SAD_XX__seg03.wav,1029_WSI_SAD_XX.wav,1029,1029_WSI_SAD_XX,3,24000,risk,0.88888889,0.88888889,0.66666667,S,9,0,0,2,0,1,6
voicevote_v61/non_risk/1030__1030_DFA_DIS_XX__seg00.wav,1030_DFA_DIS_XX.wav,1030,1030_DFA_DIS_XX,0,0,non_risk,0.00000000,1.00000000,0.75000000,N,8,0,2,0,0,6,0
voicevote_v61/non_risk/1030__1030_DFA_DIS_XX__seg01.wav,1030_DFA_DIS_XX.wav,1030,1030_DFA_DIS_XX,1,8000,non_risk,0.00000000,1.00000000,0.75000000,N,8,0,2,0,0,6,0
voicevote_v61/non_risk/1030__1030_DFA_DIS_XX__seg02.wav,1030_DFA_DIS_XX.wav,1030,1030_DFA_DIS_XX,2,16000,non_risk,0.00000000,1.00000000,0.75000000,N,8,0,2,0,0,6,0
voicevote_v61/non_risk/1030__1030_DFA_DIS_XX__seg03.wav,1030_DFA_DIS_XX.wav,1030,1030_DFA_DIS_XX,3,24000,non_risk,0.00000000,1.00000000,0.75000000,N,8,0,2,0,0,6,0
voicevote_v61/non_risk/1030__1030_DFA_FEA_XX__seg00.wav,1030_DFA_FEA_XX.wav,1030,1030_DFA_FEA_XX,0,0,non_risk,0.22222222,0.77777778,0.66666667,N,9,0,0,1,1,6,1
voicevote_v61/non_risk/1030__1030_DFA_FEA_XX__seg01.wav,1030_DFA_FEA_XX.wav,1030,1030_DFA_FEA_XX,1,8000,non_risk,0.22222222,0.77777778,0.66666667,N,9,0,0,1,1,6,1
